step,timestamp,person,appliance,state
0,00:00:00,Sam Moore,bathroom sink,False
0,00:00:00,Sam Moore,shower,False
0,00:00:00,Sam Moore,refrigerator,False
0,00:00:00,Sam Moore,toaster,False
0,00:00:00,Sam Moore,cooking area,False
0,00:00:00,Sam Moore,guitar,False
0,00:00:00,Sam Moore,microphone,False
0,00:00:00,Sam Moore,piano,False
0,00:00:00,Sam Moore,game console,False
0,00:00:00,Sam Moore,computer desk,False
0,00:00:00,Sam Moore,computer,False
0,00:00:00,Sam Moore,tv,False
0,00:00:00,Sam Moore,light,False
0,00:00:00,Tom Moreno,bathroom sink,False
0,00:00:00,Tom Moreno,shower,False
0,00:00:00,Tom Moreno,refrigerator,False
0,00:00:00,Tom Moreno,toaster,False
0,00:00:00,Tom Moreno,cooking area,False
0,00:00:00,Tom Moreno,guitar,False
0,00:00:00,Tom Moreno,microphone,False
0,00:00:00,Tom Moreno,piano,False
0,00:00:00,Tom Moreno,game console,False
0,00:00:00,Tom Moreno,computer desk,False
0,00:00:00,Tom Moreno,computer,False
0,00:00:00,Tom Moreno,tv,False
0,00:00:00,Tom Moreno,light,False
0,00:00:00,Carmen Ortiz,bathroom sink,False
0,00:00:00,Carmen Ortiz,shower,False
0,00:00:00,Carmen Ortiz,refrigerator,False
0,00:00:00,Carmen Ortiz,toaster,False
0,00:00:00,Carmen Ortiz,cooking area,False
0,00:00:00,Carmen Ortiz,guitar,False
0,00:00:00,Carmen Ortiz,microphone,False
0,00:00:00,Carmen Ortiz,piano,False
0,00:00:00,Carmen Ortiz,game console,False
0,00:00:00,Carmen Ortiz,computer desk,False
0,00:00:00,Carmen Ortiz,computer,False
0,00:00:00,Carmen Ortiz,tv,False
0,00:00:00,Carmen Ortiz,light,False
0,00:00:00,Hailey Johnson,bathroom sink,False
0,00:00:00,Hailey Johnson,shower,False
0,00:00:00,Hailey Johnson,refrigerator,False
0,00:00:00,Hailey Johnson,toaster,False
0,00:00:00,Hailey Johnson,cooking area,False
0,00:00:00,Hailey Johnson,guitar,False
0,00:00:00,Hailey Johnson,microphone,False
0,00:00:00,Hailey Johnson,piano,False
0,00:00:00,Hailey Johnson,game console,False
0,00:00:00,Hailey Johnson,computer desk,False
0,00:00:00,Hailey Johnson,computer,False
0,00:00:00,Hailey Johnson,tv,False
0,00:00:00,Hailey Johnson,light,False
0,00:00:00,Isabella Rodriguez,bathroom sink,False
0,00:00:00,Isabella Rodriguez,shower,False
